,episode,total_reward
400,400,-0.7660000000000053
401,401,-1.0160000000000053
402,402,-1.2650000000000006
403,403,-1.5139999999999958
404,404,-1.7630000000000052
405,405,-2.0120000000000005
406,406,-2.2609999999999957
407,407,-2.510000000000005
408,408,-2.7590000000000003
409,409,-3.0079999999999956
410,410,-3.2579999999999956
411,411,-3.507000000000005
412,412,-3.7560000000000002
413,413,-4.0049999999999955
414,414,-4.254000000000005
415,415,-4.503
416,416,-4.751999999999995
417,417,-5.001000000000005
418,418,-5.251000000000005
419,419,-5.5
420,420,-5.748999999999995
421,421,-5.998000000000005
422,422,-6.247
423,423,-6.496000000000009
424,424,-6.7450000000000045
425,425,-7940.450000000001
426,426,-7867.395
427,427,-10064.925000000001
428,428,-8.433000000000007
429,429,-8938.368
430,430,-9.186000000000007
431,431,-9.435000000000002
432,432,-9.683999999999997
433,433,-9.933000000000007
434,434,-10.147000000000006
435,435,-10.363
436,436,-10.611000000000004
437,437,-10.86
438,438,-11.109000000000009
439,439,-11.358000000000004
440,440,-311.56
441,441,-8178.491
442,442,-12149.638000000004
443,443,-12.683999999999997
444,444,-312.923
445,445,-10544.889000000003
446,446,-10362.562
447,447,-13.983000000000004
448,448,-14.231000000000009
449,449,-14.480000000000004
450,450,-14.729
451,451,-14.978000000000009
452,452,-15.192000000000007
453,453,-15.408000000000001
454,454,-15.622
455,455,-15.840000000000003
456,456,-16.055000000000007
457,457,-16.269000000000005
458,458,-16.486000000000004
459,459,-16.700000000000003
460,460,-16.953000000000003
461,461,-17.167
462,462,-17.384
463,463,-17.634
464,464,-17.882999999999996
465,465,-18.09700000000001
466,466,-318.33500000000004
467,467,-18.436999999999998
468,468,-18.686000000000007
469,469,-18.935000000000002
470,470,-19.150000000000006
471,471,-319.352
472,472,-19.453000000000003
473,473,-319.703
474,474,-19.804000000000002
475,475,-320.007
476,476,-20.10900000000001
477,477,-20.323000000000008
478,478,-20.540999999999997
479,479,-20.790000000000006
480,480,-21.037999999999997
481,481,-21.286
482,482,-21.534999999999997
483,483,-21.783
484,484,-22.031999999999996
485,485,-22.28
486,486,-22.528999999999996
487,487,-22.778000000000006
488,488,-23.025999999999996
489,489,-23.275000000000006
490,490,-23.524
491,491,-23.772999999999996
492,492,-24.021
493,493,-24.269999999999996
494,494,-24.519000000000005
495,495,-24.768
496,496,-25.016000000000005
497,497,-25.230000000000004
498,498,-25.445000000000007
499,499,-25.694000000000003
500,500,-25.942999999999998
501,501,-26.192000000000007
502,502,-26.441000000000003
503,503,-26.689999999999998
504,504,-26.939000000000007
505,505,-27.188000000000002
506,506,-27.436999999999998
507,507,-27.685000000000002
508,508,-27.899
509,509,-28.116000000000014
510,510,-28.36500000000001
511,511,-28.614000000000004
512,512,-28.863
513,513,-29.111999999999995
514,514,-29.36099999999999
515,515,-29.61099999999999
516,516,-29.860000000000014
517,517,-30.10900000000001
518,518,-30.358000000000004
519,519,-30.605999999999995
520,520,-30.819999999999993
521,521,-31.037000000000006
522,522,-31.286
523,523,-31.534999999999997
