,vehicle_id,time,input acceleration,desire acceleration
160,car.rightforward0,0.15,0.10391688010765565,0.10391688010765565
161,car.rightforward1,0.15,-1.0,-1.0
162,car.rightforward2,0.15,0.0,0.0
163,car.rightrear0,0.15,-1.0,-1.0
164,car.rightrear1,0.15,0.5438479008773115,0.5438479008773115
165,car.forward,0.16,0.0,0.0
166,car.leftforward0,0.16,-1.0,-1.0
167,car.leftforward1,0.16,-0.09494988273096557,-0.09494988273096557
168,car.leftforward2,0.16,0.0,0.0
169,car.leftrear0,0.16,0.5444270410948482,0.5444270410948482
170,car.leftrear1,0.16,1.0,1.0
171,car.rightforward0,0.16,0.09656998004627121,0.09656998004627121
172,car.rightforward1,0.16,-1.0,-1.0
173,car.rightforward2,0.16,0.0,0.0
174,car.rightrear0,0.16,-1.0,-1.0
175,car.rightrear1,0.16,0.5397044538126984,0.5397044538126984
176,car.forward,0.17,0.0,0.0
177,car.leftforward0,0.17,-1.0,-1.0
178,car.leftforward1,0.17,-0.09411075731822721,-0.09411075731822721
179,car.leftforward2,0.17,0.0,0.0
180,car.leftrear0,0.17,0.5466775735615305,0.5466775735615305
181,car.leftrear1,0.17,1.0,1.0
182,car.rightforward0,0.17,0.08926357698730564,0.08926357698730564
183,car.rightforward1,0.17,-1.0,-1.0
184,car.rightforward2,0.17,0.0,0.0
185,car.rightrear0,0.17,-1.0,-1.0
186,car.rightrear1,0.17,0.5355448256760675,0.5355448256760675
187,car.forward,0.18,0.0,0.0
188,car.leftforward0,0.18,-1.0,-1.0
189,car.leftforward1,0.18,-0.09327687963249023,-0.09327687963249023
190,car.leftforward2,0.18,0.0,0.0
191,car.leftrear0,0.18,0.548918047979801,0.548918047979801
192,car.leftrear1,0.18,0.9896437043716159,0.9896437043716159
193,car.rightforward0,0.18,0.0819974729333014,0.0819974729333014
194,car.rightforward1,0.18,-1.0,-1.0
195,car.rightforward2,0.18,0.0,0.0
196,car.rightrear0,0.18,-1.0,-1.0
197,car.rightrear1,0.18,0.5313693254340083,0.5313693254340083
198,car.forward,0.19,0.0,0.0
199,car.leftforward0,0.19,-1.0,-1.0
200,car.leftforward1,0.19,-0.09244822175958163,-0.09244822175958163
201,car.leftforward2,0.19,0.0,0.0
202,car.leftrear0,0.19,0.5510786560313367,0.5510786560313367
203,car.leftrear1,0.19,0.9742738261250008,0.9742738261250008
204,car.rightforward0,0.19,0.0747714707633513,0.0747714707633513
205,car.rightforward1,0.19,-1.0,-1.0
206,car.rightforward2,0.19,0.0,0.0
207,car.rightrear0,0.19,-1.0,-1.0
